Date,state
3/22/2019,Victoria
3/22/2019,Victoria
3/22/2019,Australian Capital Territory
3/25/2019,Victoria
3/25/2019,Victoria
3/25/2019,Queensland
3/25/2019,New South Wales
3/25/2019,South Australia
3/25/2019,Queensland
3/25/2019,South Australia
3/25/2019,New South Wales
3/25/2019,Victoria
3/25/2019,Queensland
3/25/2019,Queensland
3/25/2019,South Australia
3/25/2019,South Australia
3/25/2019,South Australia
3/25/2019,South Australia
3/26/2019,Queensland
3/26/2019,Victoria
3/26/2019,Queensland
3/26/2019,Victoria
3/26/2019,Victoria
3/26/2019,Victoria
3/27/2019,Western Australia
3/27/2019,Victoria
3/27/2019,New South Wales
3/28/2019,New South Wales
3/28/2019,Victoria
3/28/2019,Queensland
3/28/2019,Queensland
3/28/2019,Victoria
3/28/2019,Victoria
3/29/2019,Victoria
3/29/2019,New South Wales
3/29/2019,South Australia
3/30/2019,New South Wales
3/30/2019,New South Wales
3/31/2019,New South Wales
4/1/2019,New South Wales
4/1/2019,New South Wales
4/1/2019,South Australia
4/1/2019,South Australia
4/1/2019,New South Wales
4/1/2019,Victoria
4/1/2019,New South Wales
4/1/2019,Queensland
4/1/2019,Western Australia
4/1/2019,Victoria
4/2/2019,Victoria
4/2/2019,New South Wales
4/2/2019,New South Wales
4/2/2019,Victoria
4/2/2019,Victoria
4/2/2019,New South Wales
4/3/2019,New South Wales
4/3/2019,New South Wales
4/3/2019,Victoria
4/3/2019,Victoria
4/3/2019,Victoria
4/3/2019,Victoria
4/3/2019,Victoria
4/4/2019,South Australia
4/4/2019,New South Wales
4/4/2019,New South Wales
4/4/2019,New South Wales
4/4/2019,New South Wales
4/5/2019,New South Wales
4/5/2019,New South Wales
4/5/2019,Victoria
4/5/2019,Victoria
4/5/2019,Victoria
4/5/2019,Victoria
4/5/2019,Western Australia
4/5/2019,Victoria
4/6/2019,Victoria
4/7/2019,New South Wales
4/8/2019,Victoria
4/8/2019,New South Wales
4/8/2019,Western Australia
4/8/2019,Australian Capital Territory
4/8/2019,Victoria
4/8/2019,New South Wales
4/8/2019,Australian Capital Territory
4/8/2019,Victoria
4/9/2019,New South Wales
4/9/2019,New South Wales
4/10/2019,New South Wales
4/11/2019,Queensland
4/11/2019,New South Wales
4/11/2019,New South Wales
4/11/2019,New South Wales
4/11/2019,New South Wales
4/11/2019,New South Wales
