Date,state
10/11/2019,Victoria
10/11/2019,New South Wales
10/11/2019,New South Wales
10/11/2019,New South Wales
10/12/2019,New South Wales
10/14/2019,New South Wales
10/14/2019,Victoria
10/14/2019,Victoria
10/14/2019,New South Wales
10/15/2019,New South Wales
10/15/2019,Victoria
10/15/2019,New South Wales
10/15/2019,New South Wales
10/16/2019,Western Australia
10/16/2019,New South Wales
10/16/2019,New South Wales
10/17/2019,Victoria
10/17/2019,Victoria
10/17/2019,Victoria
10/17/2019,Queensland
10/17/2019,Victoria
10/18/2019,Victoria
10/18/2019,Victoria
10/18/2019,Victoria
10/18/2019,Victoria
10/21/2019,Queensland
10/21/2019,Queensland
10/21/2019,Queensland
10/21/2019,Queensland
10/21/2019,New South Wales
10/21/2019,Victoria
10/21/2019,New South Wales
10/21/2019,Victoria
10/21/2019,Western Australia
10/21/2019,Victoria
10/21/2019,New South Wales
10/21/2019,New South Wales
10/21/2019,New South Wales
10/21/2019,New South Wales
10/22/2019,Western Australia
10/22/2019,Western Australia
10/22/2019,Western Australia
10/23/2019,Western Australia
10/23/2019,New South Wales
10/23/2019,Victoria
10/23/2019,New South Wales
10/23/2019,New South Wales
10/24/2019,Queensland
10/24/2019,New South Wales
10/24/2019,New South Wales
10/24/2019,New South Wales
10/24/2019,New South Wales
10/25/2019,Victoria
10/25/2019,New South Wales
10/28/2019,Queensland
10/28/2019,New South Wales
10/28/2019,New South Wales
10/28/2019,New South Wales
10/29/2019,New South Wales
10/29/2019,New South Wales
10/29/2019,New South Wales
10/29/2019,New South Wales
10/29/2019,Victoria
10/30/2019,Australian Capital Territory
10/30/2019,South Australia
10/30/2019,Victoria
10/30/2019,New South Wales
10/30/2019,New South Wales
10/30/2019,New South Wales
10/30/2019,Queensland
10/30/2019,Victoria
10/31/2019,New South Wales
10/31/2019,Victoria
10/31/2019,Victoria
11/1/2019,New South Wales
11/1/2019,Western Australia
11/1/2019,Western Australia
11/4/2019,Victoria
11/4/2019,Australian Capital Territory
11/4/2019,Queensland
11/4/2019,Australian Capital Territory
11/5/2019,Queensland
11/5/2019,New South Wales
11/5/2019,New South Wales
11/5/2019,New South Wales
11/6/2019,New South Wales
11/6/2019,Victoria
11/6/2019,Queensland
11/6/2019,New South Wales
11/6/2019,Australian Capital Territory
11/7/2019,Victoria
11/7/2019,Western Australia
11/7/2019,Victoria
11/7/2019,Victoria
11/8/2019,New South Wales
11/8/2019,South Australia
11/8/2019,New South Wales
11/8/2019,New South Wales
11/8/2019,Victoria
11/8/2019,New South Wales
11/9/2019,Victoria
11/10/2019,New South Wales
11/11/2019,Victoria
11/11/2019,Queensland
11/11/2019,New South Wales
11/12/2019,New South Wales
11/12/2019,New South Wales
11/12/2019,Victoria
11/13/2019,South Australia
11/13/2019,New South Wales
11/14/2019,Victoria
11/14/2019,New South Wales
11/14/2019,New South Wales
11/14/2019,New South Wales
11/14/2019,Victoria
11/14/2019,New South Wales
11/15/2019,Victoria
11/15/2019,Western Australia
11/17/2019,Victoria
11/18/2019,Victoria
11/18/2019,Victoria
11/18/2019,Victoria
11/18/2019,Western Australia
11/18/2019,Western Australia
11/19/2019,Victoria
11/19/2019,Victoria
11/19/2019,New South Wales
11/19/2019,New South Wales
11/19/2019,Victoria
11/19/2019,New South Wales
11/19/2019,Western Australia
11/19/2019,Victoria
11/19/2019,New South Wales
11/19/2019,Victoria
11/20/2019,Western Australia
11/20/2019,Victoria
11/20/2019,Queensland
11/20/2019,New South Wales
11/20/2019,Victoria
11/21/2019,New South Wales
11/22/2019,Australian Capital Territory
11/22/2019,New South Wales
11/22/2019,Victoria
11/25/2019,Western Australia
11/26/2019,Victoria
11/26/2019,Victoria
11/26/2019,New South Wales
11/26/2019,New South Wales
11/26/2019,Victoria
11/27/2019,New South Wales
11/27/2019,Victoria
11/27/2019,New South Wales
11/28/2019,Victoria
11/28/2019,Western Australia
11/29/2019,Western Australia
12/2/2019,Victoria
12/3/2019,New South Wales
12/3/2019,Victoria
12/3/2019,New South Wales
12/3/2019,New South Wales
12/3/2019,New South Wales
12/3/2019,New South Wales
12/3/2019,Australian Capital Territory
12/3/2019,New South Wales
12/3/2019,New South Wales
12/3/2019,New South Wales
12/3/2019,New South Wales
12/3/2019,New South Wales
12/3/2019,New South Wales
12/3/2019,New South Wales
12/3/2019,New South Wales
12/3/2019,New South Wales
12/3/2019,New South Wales
12/4/2019,Queensland
12/4/2019,New South Wales
12/4/2019,Western Australia
12/5/2019,New South Wales
12/5/2019,New South Wales
12/6/2019,New South Wales
12/6/2019,Australian Capital Territory
12/6/2019,New South Wales
12/6/2019,Australian Capital Territory
12/9/2019,Victoria
12/9/2019,New South Wales
12/9/2019,Victoria
12/9/2019,Queensland
12/10/2019,Victoria
12/10/2019,New South Wales
12/10/2019,New South Wales
12/10/2019,Victoria
12/10/2019,Queensland
12/10/2019,Victoria
12/10/2019,New South Wales
12/11/2019,Victoria
12/12/2019,New South Wales
12/12/2019,Victoria
12/12/2019,Western Australia
12/13/2019,New South Wales
12/13/2019,New South Wales
12/13/2019,New South Wales
12/13/2019,Victoria
12/16/2019,Australian Capital Territory
12/16/2019,Australian Capital Territory
12/17/2019,Victoria
12/17/2019,Victoria
12/18/2019,Western Australia
12/18/2019,Western Australia
12/18/2019,Victoria
12/19/2019,South Australia
12/19/2019,New South Wales
12/19/2019,Victoria
12/19/2019,Queensland
12/19/2019,Victoria
12/19/2019,New South Wales
12/20/2019,Australian Capital Territory
12/20/2019,Australian Capital Territory
12/20/2019,New South Wales
12/20/2019,Victoria
12/20/2019,Victoria
12/20/2019,Victoria
12/23/2019,New South Wales
12/24/2019,New South Wales
12/24/2019,Victoria
12/26/2019,New South Wales
12/26/2019,Victoria
12/26/2019,Queensland
12/26/2019,Western Australia
12/27/2019,New South Wales
12/28/2019,Victoria
1/2/2020,Victoria
1/2/2020,Victoria
1/2/2020,Western Australia
1/2/2020,Victoria
1/6/2020,New South Wales
1/6/2020,Australian Capital Territory
1/6/2020,Victoria
1/7/2020,New South Wales
1/6/2020,New South Wales
1/7/2020,New South Wales
1/7/2020,New South Wales
1/7/2020,New South Wales
1/8/2020,Victoria
1/8/2020,Australian Capital Territory
1/8/2020,Western Australia
1/8/2020,New South Wales
1/8/2020,Australian Capital Territory
1/8/2020,New South Wales
1/9/2020,Australian Capital Territory
1/9/2020,Victoria
1/9/2020,Australian Capital Territory
1/10/2020,Australian Capital Territory
1/10/2020,Australian Capital Territory
1/10/2020,Queensland
1/10/2020,Victoria
1/10/2020,Victoria
1/10/2020,New South Wales
1/13/2020,New South Wales
1/13/2020,Australian Capital Territory
1/13/2020,Western Australia
1/14/2020,Victoria
1/14/2020,Western Australia
1/14/2020,South Australia
1/14/2020,Victoria
1/14/2020,New South Wales
1/14/2020,New South Wales
1/14/2020,Western Australia
1/14/2020,Western Australia
1/15/2020,New South Wales
1/15/2020,New South Wales
1/15/2020,New South Wales
1/15/2020,Queensland
1/15/2020,Queensland
1/15/2020,Queensland
1/15/2020,Queensland
1/15/2020,Queensland
1/15/2020,Queensland
1/15/2020,Western Australia
1/15/2020,Western Australia
1/16/2020,Queensland
1/16/2020,Queensland
1/16/2020,Queensland
1/16/2020,Queensland
1/16/2020,Victoria
1/16/2020,Victoria
1/16/2020,New South Wales
1/16/2020,Victoria
1/16/2020,New South Wales
1/17/2020,New South Wales
1/17/2020,New South Wales
1/20/2020,New South Wales
1/20/2020,Victoria
1/20/2020,New South Wales
1/20/2020,Western Australia
1/21/2020,New South Wales
1/21/2020,New South Wales
1/21/2020,New South Wales
1/22/2020,New South Wales
1/22/2020,New South Wales
1/22/2020,Victoria
1/22/2020,Western Australia
1/23/2020,New South Wales
1/23/2020,Victoria
1/23/2020,Western Australia
1/23/2020,Australian Capital Territory
1/23/2020,New South Wales
1/24/2020,Queensland
1/24/2020,New South Wales
1/24/2020,New South Wales
1/24/2020,New South Wales
1/24/2020,New South Wales
1/24/2020,Victoria
1/24/2020,Victoria
1/28/2020,Victoria
1/28/2020,New South Wales
1/28/2020,Australian Capital Territory
1/28/2020,New South Wales
1/28/2020,Victoria
1/28/2020,New South Wales
1/28/2020,New South Wales
1/28/2020,New South Wales
1/28/2020,New South Wales
1/28/2020,Victoria
1/29/2020,Victoria
1/29/2020,New South Wales
1/29/2020,Western Australia
1/30/2020,South Australia
1/30/2020,New South Wales
1/30/2020,Victoria
1/30/2020,Queensland
1/30/2020,Victoria
1/31/2020,Victoria
1/31/2020,New South Wales
1/31/2020,Victoria
1/31/2020,New South Wales
1/31/2020,New South Wales
2/1/2020,Western Australia
2/3/2020,New South Wales
2/3/2020,New South Wales
2/3/2020,Victoria
2/3/2020,Victoria
2/4/2020,Australian Capital Territory
2/4/2020,New South Wales
2/4/2020,New South Wales
2/4/2020,Victoria
2/4/2020,Victoria
2/4/2020,Queensland
2/4/2020,New South Wales
2/4/2020,Victoria
2/4/2020,Western Australia
2/5/2020,Australian Capital Territory
2/5/2020,New South Wales
2/5/2020,Western Australia
2/5/2020,New South Wales
2/5/2020,New South Wales
2/6/2020,Victoria
2/6/2020,Victoria
2/6/2020,New South Wales
2/7/2020,New South Wales
2/7/2020,New South Wales
2/7/2020,Victoria
2/7/2020,Victoria
2/7/2020,New South Wales
2/10/2020,New South Wales
2/10/2020,New South Wales
2/10/2020,New South Wales
2/11/2020,Queensland
2/11/2020,New South Wales
2/11/2020,New South Wales
2/12/2020,New South Wales
2/12/2020,New South Wales
2/13/2020,New South Wales
2/13/2020,Queensland
2/13/2020,New South Wales
2/13/2020,Victoria
2/13/2020,New South Wales
2/13/2020,New South Wales
2/14/2020,New South Wales
2/14/2020,New South Wales
2/14/2020,New South Wales
2/14/2020,Victoria
2/14/2020,New South Wales
2/14/2020,Victoria
2/14/2020,Victoria
2/14/2020,South Australia
2/14/2020,Victoria
2/14/2020,Western Australia
2/17/2020,New South Wales
2/17/2020,New South Wales
2/18/2020,Victoria
2/18/2020,Queensland
2/18/2020,New South Wales
2/18/2020,New South Wales
2/18/2020,Queensland
2/18/2020,Victoria
2/18/2020,New South Wales
2/19/2020,New South Wales
2/19/2020,New South Wales
2/19/2020,New South Wales
2/20/2020,Victoria
2/20/2020,Victoria
2/20/2020,Victoria
2/21/2020,Victoria
2/21/2020,New South Wales
2/21/2020,New South Wales
2/21/2020,New South Wales
2/21/2020,Victoria
2/21/2020,Victoria
2/24/2020,New South Wales
2/24/2020,Victoria
2/24/2020,New South Wales
2/24/2020,Western Australia
2/25/2020,Queensland
2/25/2020,New South Wales
2/25/2020,New South Wales
2/24/2020,Queensland
2/26/2020,New South Wales
2/26/2020,Victoria
2/26/2020,Victoria
2/27/2020,Victoria
2/27/2020,New South Wales
2/28/2020,New South Wales
2/28/2020,Victoria
2/28/2020,New South Wales
2/28/2020,Victoria
2/28/2020,Queensland
2/28/2020,New South Wales
2/28/2020,New South Wales
2/29/2020,New South Wales
3/2/2020,Victoria
3/2/2020,New South Wales
3/3/2020,New South Wales
3/3/2020,New South Wales
3/3/2020,Victoria
3/4/2020,New South Wales
3/4/2020,New South Wales
3/4/2020,Victoria
3/4/2020,New South Wales
3/4/2020,New South Wales
3/4/2020,Victoria
3/5/2020,New South Wales
3/5/2020,Victoria
3/5/2020,New South Wales
3/5/2020,Victoria
3/6/2020,Queensland
3/6/2020,New South Wales
3/6/2020,Australian Capital Territory
3/6/2020,Victoria
3/6/2020,Victoria
3/10/2020,New South Wales
3/10/2020,New South Wales
3/11/2020,Victoria
3/11/2020,New South Wales
3/11/2020,Victoria
3/12/2020,New South Wales
3/13/2020,New South Wales
3/13/2020,Western Australia
3/13/2020,New South Wales
3/13/2020,Victoria
3/13/2020,New South Wales
3/16/2020,Victoria
3/16/2020,Queensland
3/17/2020,Western Australia
3/17/2020,Western Australia
3/17/2020,New South Wales
3/17/2020,Queensland
3/17/2020,Victoria
3/17/2020,Australian Capital Territory
3/18/2020,Western Australia
3/18/2020,Victoria
3/18/2020,Australian Capital Territory
3/18/2020,New South Wales
3/19/2020,Victoria
3/19/2020,Western Australia
3/20/2020,New South Wales
3/20/2020,Australian Capital Territory
3/20/2020,Australian Capital Territory
3/20/2020,Australian Capital Territory
3/23/2020,New South Wales
3/23/2020,Australian Capital Territory
3/23/2020,Victoria
3/23/2020,Australian Capital Territory
3/24/2020,New South Wales
3/24/2020,New South Wales
3/25/2020,Australian Capital Territory
3/26/2020,New South Wales
3/26/2020,New South Wales
3/27/2020,Western Australia
3/28/2020,Victoria
3/30/2020,Victoria
3/30/2020,New South Wales
3/31/2020,Queensland
3/31/2020,New South Wales
3/31/2020,Victoria
4/1/2020,Victoria
4/2/2020,South Australia
4/3/2020,Victoria
4/3/2020,New South Wales
4/7/2020,New South Wales
4/8/2020,Western Australia
4/9/2020,Queensland
4/14/2020,New South Wales
4/14/2020,New South Wales
4/14/2020,New South Wales
4/14/2020,Victoria
4/15/2020,New South Wales
4/16/2020,New South Wales
4/16/2020,New South Wales
4/17/2020,Victoria
4/20/2020,Victoria
4/21/2020,Queensland
4/22/2020,New South Wales
4/23/2020,Victoria
4/23/2020,New South Wales
4/23/2020,New South Wales
4/23/2020,Victoria
4/27/2020,Victoria
4/27/2020,New South Wales
4/28/2020,Queensland
4/28/2020,New South Wales
4/28/2020,New South Wales
4/30/2020,Victoria
4/30/2020,Australian Capital Territory
4/30/2020,Victoria
4/30/2020,New South Wales
5/4/2020,New South Wales
5/4/2020,New South Wales
5/5/2020,New South Wales
5/5/2020,Western Australia
5/5/2020,Western Australia
5/6/2020,Victoria
5/7/2020,New South Wales
5/8/2020,Victoria
5/8/2020,Victoria
5/11/2020,Queensland
5/11/2020,New South Wales
5/12/2020,New South Wales
5/12/2020,South Australia
5/13/2020,New South Wales
5/15/2020,New South Wales
5/15/2020,New South Wales
5/16/2020,Victoria
5/18/2020,New South Wales
5/18/2020,Australian Capital Territory
5/19/2020,Western Australia
5/21/2020,Victoria
5/22/2020,New South Wales
5/22/2020,New South Wales
5/22/2020,Australian Capital Territory
5/22/2020,Australian Capital Territory
5/22/2020,Victoria
5/22/2020,Victoria
5/22/2020,Tasmania
5/22/2020,Tasmania
5/26/2020,Victoria
5/26/2020,New South Wales
5/26/2020,Victoria
5/27/2020,Victoria
5/27/2020,New South Wales
6/1/2020,Queensland
6/1/2020,New South Wales
6/1/2020,New South Wales
6/3/2020,Australian Capital Territory
6/3/2020,Australian Capital Territory
6/3/2020,New South Wales
6/3/2020,New South Wales
6/3/2020,Victoria
6/3/2020,Victoria
6/4/2020,Victoria
6/4/2020,New South Wales
6/4/2020,Victoria
6/4/2020,New South Wales
6/4/2020,Victoria
6/4/2020,Victoria
6/4/2020,New South Wales
6/4/2020,Queensland
6/4/2020,Western Australia
6/4/2020,Australian Capital Territory
6/4/2020,South Australia
6/4/2020,Tasmania
6/5/2020,Queensland
6/5/2020,Western Australia
6/5/2020,Victoria
6/5/2020,New South Wales
6/8/2020,Western Australia
6/9/2020,Western Australia
6/9/2020,Queensland
6/9/2020,Victoria
6/10/2020,Victoria
6/10/2020,Australian Capital Territory
6/10/2020,Victoria
6/11/2020,Western Australia
6/11/2020,Western Australia
6/12/2020,New South Wales
6/15/2020,New South Wales
6/16/2020,Australian Capital Territory
6/16/2020,Australian Capital Territory
6/16/2020,Australian Capital Territory
6/16/2020,Australian Capital Territory
6/16/2020,Australian Capital Territory
6/16/2020,Australian Capital Territory
6/16/2020,Australian Capital Territory
6/16/2020,Australian Capital Territory
6/16/2020,Australian Capital Territory
6/17/2020,Australian Capital Territory
6/17/2020,Victoria
6/17/2020,New South Wales
6/17/2020,New South Wales
6/17/2020,Australian Capital Territory
6/17/2020,Australian Capital Territory
6/18/2020,New South Wales
6/18/2020,Victoria
6/18/2020,Victoria
6/22/2020,Victoria
6/23/2020,Victoria
6/23/2020,New South Wales
6/25/2020,Victoria
6/25/2020,New South Wales
6/25/2020,New South Wales
6/29/2020,Victoria
6/30/2020,South Australia
7/1/2020,New South Wales
7/2/2020,Victoria
7/2/2020,Victoria
7/2/2020,New South Wales
7/2/2020,Victoria
7/3/2020,Western Australia
7/6/2020,New South Wales
7/7/2020,Victoria
7/7/2020,New South Wales
7/7/2020,New South Wales
7/8/2020,Victoria
7/9/2020,New South Wales
7/9/2020,Victoria
7/10/2020,Victoria
7/10/2020,New South Wales
7/10/2020,Victoria
7/10/2020,New South Wales
7/13/2020,Victoria
7/13/2020,New South Wales
7/13/2020,Queensland
7/14/2020,Victoria
7/14/2020,New South Wales
7/14/2020,New South Wales
7/14/2020,New South Wales
7/16/2020,New South Wales
7/16/2020,New South Wales
7/16/2020,New South Wales
7/16/2020,New South Wales
7/16/2020,Queensland
7/16/2020,Victoria
7/16/2020,New South Wales
7/17/2020,New South Wales
7/17/2020,New South Wales
7/20/2020,New South Wales
7/20/2020,New South Wales
7/20/2020,New South Wales
7/20/2020,New South Wales
7/20/2020,Western Australia
7/20/2020,New South Wales
7/20/2020,Victoria
7/21/2020,New South Wales
7/21/2020,New South Wales
7/21/2020,Western Australia
7/21/2020,New South Wales
7/21/2020,Victoria
7/22/2020,Victoria
7/22/2020,Queensland
7/23/2020,New South Wales
7/27/2020,Victoria
7/28/2020,New South Wales
7/28/2020,New South Wales
7/28/2020,New South Wales
7/28/2020,New South Wales
7/28/2020,Western Australia
7/29/2020,New South Wales
7/29/2020,Queensland
7/29/2020,Queensland
7/29/2020,Victoria
7/29/2020,New South Wales
7/29/2020,New South Wales
7/30/2020,New South Wales
7/31/2020,Australian Capital Territory
7/31/2020,Australian Capital Territory
7/31/2020,Australian Capital Territory
7/31/2020,Australian Capital Territory
7/31/2020,Australian Capital Territory
7/31/2020,Australian Capital Territory
7/31/2020,Australian Capital Territory
7/31/2020,Australian Capital Territory
7/31/2020,Australian Capital Territory
7/31/2020,Australian Capital Territory
8/3/2020,New South Wales
8/3/2020,Australian Capital Territory
8/4/2020,Victoria
8/4/2020,New South Wales
8/4/2020,Australian Capital Territory
8/5/2020,New South Wales
8/7/2020,Queensland
8/7/2020,Queensland
8/8/2020,New South Wales
8/10/2020,Victoria
8/10/2020,New South Wales
8/10/2020,Victoria
8/11/2020,Australian Capital Territory
8/11/2020,Victoria
8/12/2020,New South Wales
8/13/2020,Victoria
8/13/2020,Western Australia
8/13/2020,New South Wales
8/13/2020,Victoria
8/14/2020,Queensland
8/14/2020,New South Wales
8/14/2020,Western Australia
8/14/2020,Western Australia
8/14/2020,Victoria
8/17/2020,Western Australia
8/18/2020,Victoria
8/18/2020,Australian Capital Territory
8/18/2020,Australian Capital Territory
8/19/2020,Victoria
8/21/2020,New South Wales
8/21/2020,Victoria
8/21/2020,New South Wales
8/24/2020,New South Wales
8/24/2020,Victoria
8/24/2020,New South Wales
8/25/2020,New South Wales
8/25/2020,New South Wales
8/25/2020,New South Wales
8/26/2020,New South Wales
8/26/2020,Victoria
8/26/2020,Victoria
8/26/2020,New South Wales
8/26/2020,New South Wales
8/27/2020,New South Wales
8/27/2020,New South Wales
8/27/2020,New South Wales
8/27/2020,New South Wales
8/28/2020,New South Wales
8/31/2020,Victoria
8/31/2020,Victoria
8/31/2020,New South Wales
8/31/2020,Victoria
9/1/2020,Australian Capital Territory
9/1/2020,Victoria
9/1/2020,Victoria
9/2/2020,New South Wales
9/2/2020,New South Wales
9/2/2020,New South Wales
9/3/2020,New South Wales
9/3/2020,New South Wales
9/4/2020,Victoria
9/4/2020,New South Wales
9/4/2020,Victoria
9/6/2020,New South Wales
9/7/2020,New South Wales
9/8/2020,New South Wales
9/8/2020,Victoria
9/8/2020,New South Wales
9/8/2020,Victoria
9/8/2020,New South Wales
9/8/2020,New South Wales
9/8/2020,Victoria
9/8/2020,Western Australia
9/8/2020,Victoria
9/9/2020,New South Wales
9/11/2020,New South Wales
9/10/2020,Victoria
9/10/2020,South Australia
9/10/2020,Victoria
9/10/2020,New South Wales
9/11/2020,New South Wales
9/11/2020,Australian Capital Territory
9/14/2020,New South Wales
9/14/2020,New South Wales
9/14/2020,New South Wales
9/14/2020,New South Wales
9/14/2020,New South Wales
9/14/2020,New South Wales
9/15/2020,New South Wales
9/15/2020,New South Wales
9/15/2020,New South Wales
9/16/2020,South Australia
9/16/2020,South Australia
9/16/2020,South Australia
9/16/2020,South Australia
9/16/2020,South Australia
9/16/2020,New South Wales
9/16/2020,South Australia
9/16/2020,New South Wales
9/17/2020,New South Wales
9/17/2020,New South Wales
9/17/2020,South Australia
9/17/2020,South Australia
9/18/2020,New South Wales
9/18/2020,New South Wales
9/18/2020,New South Wales
9/18/2020,Australian Capital Territory
9/19/2020,Australian Capital Territory
9/20/2020,Australian Capital Territory
9/21/2020,Victoria
9/22/2020,New South Wales
9/22/2020,Western Australia
9/23/2020,New South Wales
9/23/2020,Victoria
9/23/2020,New South Wales
9/23/2020,New South Wales
9/23/2020,Victoria
9/24/2020,Victoria
9/24/2020,Victoria
9/24/2020,Western Australia
9/28/2020,New South Wales
9/28/2020,Victoria
9/28/2020,South Australia
9/28/2020,South Australia
9/28/2020,Queensland
9/28/2020,Australian Capital Territory
9/28/2020,South Australia
9/28/2020,Victoria
9/28/2020,Victoria
9/29/2020,South Australia
9/29/2020,Victoria
9/29/2020,New South Wales
9/29/2020,Victoria
9/30/2020,South Australia
9/30/2020,New South Wales
9/30/2020,Australian Capital Territory
10/2/2020,New South Wales
10/5/2020,Victoria
10/6/2020,Victoria
10/6/2020,Victoria
10/6/2020,Australian Capital Territory
10/6/2020,Australian Capital Territory
10/6/2020,Victoria
10/8/2020,Victoria
10/9/2020,Victoria
10/9/2020,Victoria
10/9/2020,Australian Capital Territory
10/9/2020,Australian Capital Territory
10/10/2020,New South Wales
10/12/2020,Queensland
10/12/2020,New South Wales
10/12/2020,Victoria
10/12/2020,New South Wales
10/12/2020,Western Australia
10/12/2020,Western Australia
10/13/2020,Australian Capital Territory
10/13/2020,Victoria
10/13/2020,Victoria
10/13/2020,New South Wales
10/13/2020,New South Wales
10/13/2020,New South Wales
10/15/2020,New South Wales
10/15/2020,Australian Capital Territory
10/15/2020,Australian Capital Territory
10/16/2020,Australian Capital Territory
10/16/2020,South Australia
10/16/2020,New South Wales
10/16/2020,Victoria
10/16/2020,Australian Capital Territory
10/16/2020,New South Wales
10/16/2020,Australian Capital Territory
10/16/2020,New South Wales
10/19/2020,New South Wales
10/19/2020,New South Wales
10/20/2020,New South Wales
10/20/2020,New South Wales
10/20/2020,Victoria
10/20/2020,Australian Capital Territory
10/20/2020,Victoria
10/20/2020,Australian Capital Territory
10/20/2020,New South Wales
10/21/2020,Australian Capital Territory
10/21/2020,Queensland
10/21/2020,New South Wales
10/21/2020,New South Wales
10/21/2020,New South Wales
10/21/2020,Queensland
10/21/2020,Victoria
10/21/2020,Australian Capital Territory
10/21/2020,Australian Capital Territory
10/21/2020,Western Australia
10/22/2020,New South Wales
10/22/2020,New South Wales
10/22/2020,New South Wales
10/22/2020,Australian Capital Territory
10/22/2020,Victoria
10/22/2020,Victoria
10/22/2020,Western Australia
10/22/2020,New South Wales
10/22/2020,New South Wales
10/22/2020,Victoria
10/23/2020,New South Wales
10/23/2020,Queensland
10/23/2020,Australian Capital Territory
10/27/2020,Victoria
10/27/2020,Victoria
10/27/2020,Victoria
10/27/2020,Victoria
10/28/2020,New South Wales
10/29/2020,South Australia
10/29/2020,Victoria
10/29/2020,New South Wales
10/30/2020,Victoria
10/30/2020,Queensland
10/30/2020,Queensland
10/30/2020,Queensland
10/30/2020,New South Wales
11/2/2020,New South Wales
11/2/2020,New South Wales
11/2/2020,Queensland
11/3/2020,New South Wales
11/4/2020,Victoria
11/5/2020,Victoria
11/6/2020,Victoria
11/6/2020,Victoria
11/6/2020,Victoria
11/6/2020,Victoria
11/6/2020,Australian Capital Territory
11/8/2020,New South Wales
11/9/2020,Queensland
11/9/2020,Victoria
11/9/2020,Victoria
11/9/2020,Victoria
11/9/2020,Victoria
11/9/2020,New South Wales
11/9/2020,New South Wales
11/9/2020,Australian Capital Territory
11/9/2020,Australian Capital Territory
11/9/2020,Australian Capital Territory
11/9/2020,Australian Capital Territory
11/9/2020,Queensland
11/9/2020,Queensland
11/9/2020,Queensland
11/9/2020,Queensland
11/9/2020,New South Wales
11/9/2020,New South Wales
11/9/2020,Western Australia
11/9/2020,Queensland
11/9/2020,Victoria
11/9/2020,New South Wales
11/9/2020,Victoria
11/10/2020,New South Wales
11/10/2020,Queensland
11/10/2020,Victoria
11/11/2020,Victoria
11/11/2020,South Australia
11/12/2020,Victoria
11/12/2020,Victoria
11/13/2020,New South Wales
11/13/2020,Victoria
11/13/2020,New South Wales
11/13/2020,Queensland
11/16/2020,New South Wales
11/16/2020,Victoria
11/16/2020,Victoria
11/16/2020,New South Wales
11/17/2020,New South Wales
11/17/2020,Australian Capital Territory
11/17/2020,Queensland
11/17/2020,New South Wales
11/18/2020,Victoria
11/18/2020,Victoria
11/20/2020,New South Wales
11/20/2020,New South Wales
11/20/2020,New South Wales
11/20/2020,Victoria
11/22/2020,Queensland
11/23/2020,Victoria
11/23/2020,Victoria
11/23/2020,South Australia
11/24/2020,Victoria
11/24/2020,Victoria
11/24/2020,Victoria
11/24/2020,South Australia
11/25/2020,Queensland
11/26/2020,New South Wales
11/27/2020,New South Wales
11/27/2020,New South Wales
11/30/2020,Victoria
11/30/2020,New South Wales
11/30/2020,New South Wales
11/30/2020,New South Wales
11/30/2020,Queensland
11/30/2020,Queensland
12/1/2020,Queensland
12/1/2020,New South Wales
12/3/2020,Victoria
12/4/2020,Australian Capital Territory
12/4/2020,Western Australia
12/4/2020,Western Australia
12/4/2020,Western Australia
12/8/2020,New South Wales
12/8/2020,Victoria
12/8/2020,New South Wales
12/8/2020,Victoria
12/8/2020,Victoria
12/8/2020,New South Wales
12/8/2020,Australian Capital Territory
12/8/2020,Australian Capital Territory
12/8/2020,Australian Capital Territory
12/8/2020,Australian Capital Territory
12/8/2020,Australian Capital Territory
12/8/2020,Australian Capital Territory
12/8/2020,Australian Capital Territory
12/8/2020,New South Wales
12/8/2020,Australian Capital Territory
12/9/2020,Australian Capital Territory
12/9/2020,New South Wales
12/10/2020,Australian Capital Territory
12/11/2020,New South Wales
12/14/2020,New South Wales
12/15/2020,New South Wales
12/15/2020,New South Wales
12/15/2020,Victoria
12/15/2020,New South Wales
12/15/2020,New South Wales
12/16/2020,New South Wales
12/16/2020,Victoria
12/16/2020,Queensland
12/17/2020,Victoria
12/17/2020,Victoria
12/17/2020,Victoria
12/18/2020,Victoria
12/18/2020,Queensland
12/18/2020,New South Wales
12/18/2020,Victoria
12/21/2020,New South Wales
12/21/2020,South Australia
12/21/2020,New South Wales
12/22/2020,Victoria
12/23/2020,Victoria
12/30/2020,Victoria
1/4/2021,Victoria
1/4/2021,Western Australia
1/4/2021,Western Australia
1/4/2021,Victoria
1/4/2021,Victoria
1/4/2021,Australian Capital Territory
1/5/2021,Australian Capital Territory
1/5/2021,Australian Capital Territory
1/5/2021,New South Wales
1/5/2021,New South Wales
1/5/2021,New South Wales
1/6/2021,Victoria
1/6/2021,Queensland
1/6/2021,New South Wales
1/7/2021,New South Wales
1/7/2021,New South Wales
1/8/2021,Victoria
1/9/2021,Victoria
1/10/2021,Victoria
1/11/2021,Victoria
1/11/2021,New South Wales
1/12/2021,Victoria
1/12/2021,Queensland
1/12/2021,Queensland
1/12/2021,Victoria
1/12/2021,Western Australia
1/12/2021,Victoria
1/13/2021,New South Wales
1/13/2021,Victoria
1/13/2021,New South Wales
1/13/2021,Victoria
1/15/2021,Victoria
1/15/2021,Western Australia
1/15/2021,Western Australia
1/15/2021,Western Australia
1/16/2021,New South Wales
1/16/2021,Victoria
1/18/2021,New South Wales
1/18/2021,Victoria
1/18/2021,Victoria
1/19/2021,New South Wales
1/19/2021,New South Wales
