jobSubClassification,Jobs,Year
Business/Systems Analysts,1,2021
Developers/Programmers,1,2021
Other,1,2021
Other,1,2021
Other,1,2021
Developers/Programmers,1,2021
Other,1,2021
Database Development & Administration,1,2021
Developers/Programmers,1,2021
Engineering - Software,1,2021
Engineering - Software,1,2021
Database Development & Administration,1,2021
Other,1,2021
Consultants,1,2021
Other,1,2021
Other,1,2021
Other,1,2021
Business/Systems Analysts,1,2021
Database Development & Administration,1,2021
Other,1,2021
Engineering - Software,1,2021
Other,1,2021
Consultants,1,2021
Other,1,2021
Developers/Programmers,1,2021
Other,1,2021
Business/Systems Analysts,1,2021
Engineering - Software,1,2021
Engineering - Software,1,2021
Database Development & Administration,1,2021
Developers/Programmers,1,2021
Developers/Programmers,1,2021
Other,1,2021
Other,1,2021
Developers/Programmers,1,2021
Developers/Programmers,1,2021
Engineering - Software,1,2021
Developers/Programmers,1,2021
Developers/Programmers,1,2021
Developers/Programmers,1,2021
Developers/Programmers,1,2021
Engineering - Software,1,2021
Database Development & Administration,1,2021
Other,1,2021
Engineering - Software,1,2021
Business/Systems Analysts,1,2021
Other,1,2021
Business/Systems Analysts,1,2021
Engineering - Software,1,2021
Engineering - Software,1,2021
Other,1,2021
Developers/Programmers,1,2021
Business/Systems Analysts,1,2021
Other,1,2021
Other,1,2021
Consultants,1,2021
Other,1,2021
Product Management & Development,1,2021
Database Development & Administration,1,2021
Engineering - Software,1,2021
Other,1,2021
Business/Systems Analysts,1,2021
Database Development & Administration,1,2021
Database Development & Administration,1,2021
Consultants,1,2021
Developers/Programmers,1,2021
Other,1,2021
Database Development & Administration,1,2021
Other,1,2021
Consultants,1,2021
Engineering - Software,1,2021
Other,1,2021
Engineering - Software,1,2021
Developers/Programmers,1,2021
Other,1,2021
Other,1,2021
Developers/Programmers,1,2021
Business/Systems Analysts,1,2021
Database Development & Administration,1,2021
Business/Systems Analysts,1,2021
Database Development & Administration,1,2021
Engineering - Software,1,2021
Other,1,2021
Business/Systems Analysts,1,2021
Business/Systems Analysts,1,2021
Developers/Programmers,1,2021
Other,1,2021
Database Development & Administration,1,2021
Other,1,2021
Consultants,1,2021
Other,1,2021
Developers/Programmers,1,2021
Consultants,1,2021
Business/Systems Analysts,1,2021
Other,1,2021
Engineering - Software,1,2021
Other,1,2021
Engineering - Software,1,2021
Engineering - Software,1,2021
Engineering - Software,1,2021
Engineering - Software,1,2021
Consultants,1,2021
Other,1,2021
Other,1,2021
Other,1,2021
Engineering - Software,1,2021
Other,1,2021
Engineering - Software,1,2021
Developers/Programmers,1,2021
Developers/Programmers,1,2021
Developers/Programmers,1,2021
Database Development & Administration,1,2021
Consultants,1,2021
Engineering - Software,1,2021
Engineering - Software,1,2021
Database Development & Administration,1,2021
Business/Systems Analysts,1,2021
Database Development & Administration,1,2021
Architects,1,2021
Engineering - Software,1,2021
Engineering - Software,1,2021
Engineering - Software,1,2021
Developers/Programmers,1,2021
Business/Systems Analysts,1,2021
Database Development & Administration,1,2021
Engineering - Software,1,2021
Developers/Programmers,1,2021
Business/Systems Analysts,1,2021
Developers/Programmers,1,2021
Developers/Programmers,1,2021
Developers/Programmers,1,2021
Engineering - Software,1,2021
Engineering - Software,1,2021
Developers/Programmers,1,2021
Developers/Programmers,1,2021
Consultants,1,2021
Engineering - Software,1,2021
Business/Systems Analysts,1,2021
Database Development & Administration,1,2021
Engineering - Software,1,2021
Consultants,1,2021
Other,1,2021
Engineering - Software,1,2021
Database Development & Administration,1,2021
Architects,1,2021
Developers/Programmers,1,2021
Developers/Programmers,1,2021
Engineering - Software,1,2021
Consultants,1,2021
Consultants,1,2021
Database Development & Administration,1,2021
Business/Systems Analysts,1,2021
Other,1,2021
Database Development & Administration,1,2021
Consultants,1,2021
Engineering - Software,1,2021
Developers/Programmers,1,2021
Developers/Programmers,1,2021
Consultants,1,2021
Consultants,1,2021
Other,1,2021
Developers/Programmers,1,2021
Engineering - Network,1,2021
Engineering - Software,1,2021
Engineering - Software,1,2021
Database Development & Administration,1,2021
Developers/Programmers,1,2021
Other,1,2021
Developers/Programmers,1,2021
Other,1,2021
Engineering - Software,1,2021
Other,1,2021
Team Leaders,1,2021
Business/Systems Analysts,1,2021
Business/Systems Analysts,1,2021
Business/Systems Analysts,1,2021
Database Development & Administration,1,2021
Database Development & Administration,1,2021
Database Development & Administration,1,2021
Consultants,1,2021
Developers/Programmers,1,2021
Other,1,2021
Other,1,2021
Other,1,2021
Engineering - Software,1,2021
Engineering - Software,1,2021
Database Development & Administration,1,2021
Business/Systems Analysts,1,2021
Other,1,2021
Other,1,2021
Developers/Programmers,1,2021
Business/Systems Analysts,1,2021
Consultants,1,2021
Business/Systems Analysts,1,2021
Developers/Programmers,1,2021
Engineering - Software,1,2021
Engineering - Software,1,2021
Other,1,2021
Other,1,2021
Business/Systems Analysts,1,2021
Developers/Programmers,1,2021
Business/Systems Analysts,1,2021
Database Development & Administration,1,2021
Other,1,2021
Business/Systems Analysts,1,2021
Business/Systems Analysts,1,2021
Developers/Programmers,1,2021
Developers/Programmers,1,2021
Engineering - Software,1,2021
Other,1,2021
Business/Systems Analysts,1,2021
Developers/Programmers,1,2021
Other,1,2021
Other,1,2021
Other,1,2021
Other,1,2021
Engineering - Software,1,2021
Other,1,2021
Database Development & Administration,1,2021
Other,1,2021
Product Management & Development,1,2021
Database Development & Administration,1,2021
Other,1,2021
Other,1,2021
Architects,1,2021
Other,1,2021
Developers/Programmers,1,2021
Engineering - Software,1,2021
Database Development & Administration,1,2021
Engineering - Software,1,2021
Database Development & Administration,1,2021
Database Development & Administration,1,2021
Database Development & Administration,1,2021
Other,1,2021
Database Development & Administration,1,2021
Developers/Programmers,1,2021
Management,1,2021
Consultants,1,2021
Consultants,1,2021
Developers/Programmers,1,2021
Other,1,2021
Business/Systems Analysts,1,2021
Engineering - Software,1,2021
Database Development & Administration,1,2021
Business/Systems Analysts,1,2021
Other,1,2021
Other,1,2021
Developers/Programmers,1,2021
Other,1,2021
Developers/Programmers,1,2021
Other,1,2021
Other,1,2021
Other,1,2021
Engineering - Software,1,2021
Other,1,2021
Developers/Programmers,1,2021
Engineering - Software,1,2021
Engineering - Software,1,2021
Architects,1,2021
Engineering - Software,1,2021
Engineering - Software,1,2021
Engineering - Software,1,2021
Business/Systems Analysts,1,2021
Consultants,1,2021
Consultants,1,2021
Developers/Programmers,1,2021
Other,1,2021
Developers/Programmers,1,2021
Business/Systems Analysts,1,2021
Other,1,2021
Other,1,2021
Developers/Programmers,1,2021
Developers/Programmers,1,2021
Developers/Programmers,1,2021
Developers/Programmers,1,2021
Other,1,2021
Business/Systems Analysts,1,2021
Business/Systems Analysts,1,2021
Database Development & Administration,1,2021
Engineering - Software,1,2021
Consultants,1,2021
Other,1,2021
Engineering - Software,1,2021
Other,1,2021
Other,1,2021
Other,1,2021
Database Development & Administration,1,2021
Other,1,2021
Database Development & Administration,1,2021
Consultants,1,2021
Developers/Programmers,1,2021
Management,1,2021
Database Development & Administration,1,2021
Other,1,2021
Business/Systems Analysts,1,2021
Database Development & Administration,1,2021
Other,1,2021
Business/Systems Analysts,1,2021
Developers/Programmers,1,2021
Consultants,1,2021
Database Development & Administration,1,2021
Engineering - Software,1,2021
Engineering - Software,1,2021
Other,1,2021
Other,1,2021
Other,1,2021
Business/Systems Analysts,1,2021
Other,1,2021
Other,1,2021
Business/Systems Analysts,1,2021
Developers/Programmers,1,2021
Database Development & Administration,1,2021
Management,1,2021
Database Development & Administration,1,2021
Sales - Pre & Post,1,2021
Sales - Pre & Post,1,2021
Developers/Programmers,1,2021
Other,1,2021
Other,1,2021
Consultants,1,2021
Architects,1,2021
Consultants,1,2021
Consultants,1,2021
Consultants,1,2021
Database Development & Administration,1,2021
Business/Systems Analysts,1,2021
Database Development & Administration,1,2021
Database Development & Administration,1,2021
Other,1,2021
Business/Systems Analysts,1,2021
Other,1,2021
Database Development & Administration,1,2021
Engineering - Software,1,2021
Database Development & Administration,1,2021
Engineering - Software,1,2021
Engineering - Software,1,2021
Architects,1,2021
Other,1,2021
Other,1,2021
Business/Systems Analysts,1,2021
Business/Systems Analysts,1,2021
Consultants,1,2021
Consultants,1,2021
Business/Systems Analysts,1,2021
Other,1,2021
Engineering - Software,1,2021
Other,1,2021
Business/Systems Analysts,1,2021
Business/Systems Analysts,1,2021
Business/Systems Analysts,1,2021
Developers/Programmers,1,2021
Business/Systems Analysts,1,2021
Product Management & Development,1,2021
Database Development & Administration,1,2021
Business/Systems Analysts,1,2021
Other,1,2021
Engineering - Software,1,2021
Database Development & Administration,1,2021
Database Development & Administration,1,2021
Database Development & Administration,1,2021
Database Development & Administration,1,2021
