Date,Jobs
2019-1-16,1
2019-2-4,1
2019-2-5,1
2019-2-5,1
2019-2-5,1
2019-2-5,1
2019-2-5,1
2019-2-5,1
2019-2-5,1
2019-2-5,1
2019-2-6,1
2019-2-6,1
2019-2-6,1
2019-2-6,1
2019-2-6,1
2019-2-6,1
2019-2-6,1
2019-2-6,1
2019-2-25,1
2019-2-7,1
2019-2-7,1
2019-2-7,1
2019-2-8,1
2019-2-8,1
2019-2-8,1
2019-2-8,1
2019-2-8,1
2019-2-8,1
2019-2-8,1
2019-2-11,1
2019-2-11,1
2019-2-11,1
2019-2-11,1
2019-2-11,1
2019-2-11,1
2019-2-11,1
2019-2-11,1
2019-2-12,1
2019-2-12,1
2019-2-12,1
2019-2-12,1
2019-2-12,1
2019-2-12,1
2019-2-12,1
2019-2-12,1
2019-2-12,1
2019-2-12,1
2019-2-13,1
2019-2-13,1
2019-2-13,1
2019-2-13,1
2019-2-13,1
2019-2-13,1
2019-2-13,1
2019-2-13,1
2019-2-13,1
2019-2-13,1
2019-2-13,1
2019-2-14,1
2019-2-14,1
2019-2-14,1
2019-2-14,1
2019-2-14,1
2019-2-15,1
2019-2-15,1
2019-2-15,1
2019-2-15,1
2019-2-15,1
2019-2-16,1
2019-2-16,1
2019-2-16,1
2019-2-18,1
2019-2-18,1
2019-2-18,1
2019-2-18,1
2019-2-18,1
2019-2-18,1
2019-2-19,1
2019-2-19,1
2019-2-19,1
2019-2-19,1
2019-2-21,1
2019-2-20,1
2019-2-20,1
2019-2-20,1
2019-2-20,1
2019-2-21,1
2019-2-21,1
2019-2-21,1
2019-2-22,1
2019-2-22,1
2019-2-22,1
2019-2-24,1
2019-2-25,1
2019-2-25,1
2019-2-26,1
2019-2-26,1
2019-2-26,1
2019-2-27,1
2019-2-27,1
2019-2-27,1
2019-2-27,1
2019-2-27,1
2019-2-27,1
2019-2-27,1
2019-2-28,1
2019-2-27,1
2019-2-28,1
2019-2-28,1
2019-2-28,1
2019-2-28,1
2019-2-28,1
2019-2-28,1
2019-2-28,1
2019-2-28,1
2019-2-28,1
2019-3-1,1
2019-3-1,1
2019-3-1,1
2019-3-1,1
2019-3-1,1
2019-3-1,1
2019-3-1,1
2019-3-1,1
2019-3-4,1
